participant_id,topic,response
S01,Onboarding,The first-time setup felt clear. I finished in under five minutes.
S02,Onboarding,Too many steps before I could try the main feature. Almost quit twice.
S03,Support,Support replied quickly but the answer did not solve my billing issue.
S04,Features,I only use two features weekly. The rest feels like clutter in the menu.
S05,Trust,I am cautious about linking my bank account. A clearer security page would help.
S06,Accessibility,Text is readable but some buttons are too small on my phone.
S07,Onboarding,Loved the short video. It showed exactly what I could do first.
S08,Features,Search works well. Filters could remember what I picked last time.
S09,Support,Great chat experience. The bot handed off to a human when I asked.
S10,Trust,Privacy policy was long. A simple summary at the top would be nicer.
