OBJECTID,DA_Id,DA_Name,In_Effect_Desc,ShapeSTArea,ShapeSTLength
1,3071,Whitcomb,April 1 2026 to March 31 2027,128047803.751952,122751.929966563
2,3682,Ahtanum,April 1 2026 to March 31 2027,6256904146.1399,544388.268540385
3,2010,Benge,April 1 2026 to March 31 2027,10943238972.1487,515244.178784322
4,2011,Lakeview,April 1 2026 to March 31 2027,943456800.172196,125604.163665224
5,6020,Dungeness-Miller Peninsula,April 1 2026 to March 31 2027,2145939138.95641,699409.087538465
6,2012,Methow Valley,April 1 2026 to March 31 2027,2779349905.19161,1342951.74365914
7,2015,Omak,April 1 2026 to March 31 2027,1269157304.81994,267869.597620233
8,2016,Conconully,April 1 2026 to March 31 2027,653033704.151822,152814.594135153
9,2013,North Okanogan,April 1 2026 to March 31 2027,4042936203.53451,352766.508308828
10,2014,Central Okanogan,April 1 2026 to March 31 2027,2730658635.54001,275197.485952078
11,1009,East Wenaha,April 1 2026 to March 31 2027,2827919395.95482,307774.468080641
12,1008,West Wenaha,April 1 2026 to March 31 2027,1672074498.75057,233879.541753544
13,1031,Parker Lake,April 1 2026 to March 31 2027,911139451.553003,161117.111606246
14,3372,Sunnyside,April 1 2026 to March 31 2027,2057166291.32127,599481.554927469
15,3334,Ellensburg,April 1 2026 to March 31 2027,1343053295.75209,259675.049952918
16,2017,Lake Chelan North,April 1 2026 to March 31 2027,834889993.353021,222534.291791198
17,1010,,April 1 2026 to March 31 2027,3985509357.58651,556713.613567486
18,4541,North Issaquah,April 1 2026 to March 31 2027,26021302468.3581,1088108.07522159
19,3072,Paterson,April 1 2026 to March 31 2027,164569365.344978,150923.421453716
