OBJECTID,DA_Id,DA_Name,In_Effect_Desc,Shape.STArea(),Shape.STLength()
1,3071,Whitcomb,April 1 2026 to March 31 2027,128047803.7519523,122751.92996656254
2,3682,Ahtanum,April 1 2026 to March 31 2027,6256904146.139896,544388.2685403853
3,2010,Benge,April 1 2026 to March 31 2027,10943238972.148663,515244.1787843215
4,2011,Lakeview,April 1 2026 to March 31 2027,943456800.1721963,125604.16366522366
5,6020,Dungeness-Miller Peninsula,April 1 2026 to March 31 2027,2145939138.9564111,699409.0875384649
6,2012,Methow Valley,April 1 2026 to March 31 2027,2779349905.1916122,1342951.7436591396
7,2015,Omak,April 1 2026 to March 31 2027,1269157304.8199403,267869.59762023325
8,2016,Conconully,April 1 2026 to March 31 2027,653033704.1518222,152814.59413515255
9,2013,North Okanogan,April 1 2026 to March 31 2027,4042936203.5345078,352766.5083088277
10,2014,Central Okanogan,April 1 2026 to March 31 2027,2730658635.540009,275197.48595207813
11,1009,East Wenaha,April 1 2026 to March 31 2027,2827919395.9548225,307774.4680806412
12,1008,West Wenaha,April 1 2026 to March 31 2027,1672074498.7505693,233879.54175354433
13,1031,Parker Lake,April 1 2026 to March 31 2027,911139451.5530026,161117.11160624624
14,3372,Sunnyside,April 1 2026 to March 31 2027,2057166291.3212707,599481.5549274691
15,3334,Ellensburg,April 1 2026 to March 31 2027,1343053295.7520905,259675.04995291814
16,2017,Lake Chelan North,April 1 2026 to March 31 2027,834889993.3530209,222534.291791198
17,1010,,April 1 2026 to March 31 2027,3985509357.5865116,556713.6135674856
18,4541,North Issaquah,April 1 2026 to March 31 2027,26021302468.358097,1088108.075221595
19,3072,Paterson,April 1 2026 to March 31 2027,164569365.34497797,150923.42145371597
